cond_profile,protocol,scheme,n_samples,handshake_ms,latency_ms,throughput_mbps,cpu_pct,mem_mb,packet_loss_pct
local,IPsec,classic,750,311.93 ± 21.01,4.52 ± 0.56,145.56 ± 4.30,90.28 ± 4.85,6.75 ± 0.29,0.00 ± 0.00
local,IPsec,hybrid,750,235.35 ± 3580.96,4.40 ± 0.68,148.20 ± 6.48,89.64 ± 4.91,5.40 ± 0.17,0.80 ± 8.91
local,OpenVPN,classic,750,693.50 ± 44.44,5.34 ± 0.54,40.46 ± 1.55,77.69 ± 3.95,4.67 ± 0.23,0.00 ± 0.00
local,OpenVPN,hybrid,750,3624.95 ± 118.92,7.93 ± 0.90,24.84 ± 1.50,36.66 ± 2.23,4.08 ± 0.22,0.00 ± 0.00
local,WireGuard,classic,750,5.29 ± 2.77,5.29 ± 0.62,164.09 ± 20.85,16.48 ± 1.44,3.11 ± 0.10,0.00 ± 0.00
local,WireGuard,hybrid,750,5726.75 ± 184.83,5.31 ± 1.18,138.96 ± 16.79,11.54 ± 0.94,4.58 ± 0.40,0.00 ± 0.00
realistic,IPsec,classic,750,411.11 ± 26.27,101.86 ± 3.80,8.13 ± 0.61,30.37 ± 1.68,6.52 ± 0.05,0.00 ± 0.00
realistic,IPsec,hybrid,750,334.17 ± 324670.05,102.25 ± 3.89,7.73 ± 1.02,27.18 ± 2.13,5.18 ± 0.03,0.53 ± 7.29
realistic,OpenVPN,classic,750,1135.03 ± 50.28,102.76 ± 3.95,8.12 ± 0.60,30.35 ± 1.52,3.90 ± 0.06,0.00 ± 0.00
realistic,OpenVPN,hybrid,750,4772.20 ± 131.69,105.71 ± 3.72,2.83 ± 2.08,9.68 ± 4.67,3.26 ± 0.27,0.00 ± 0.00
realistic,WireGuard,classic,750,102.81 ± 8.02,102.91 ± 3.67,8.06 ± 0.62,29.06 ± 1.64,2.22 ± 0.01,0.00 ± 0.00
realistic,WireGuard,hybrid,750,5924.26 ± 83.92,103.10 ± 4.00,8.22 ± 0.59,28.14 ± 1.64,3.67 ± 0.01,0.00 ± 0.00
adverse,IPsec,classic,750,607.03 ± 664.17,302.16 ± 0.59,0.54 ± 0.30,7.04 ± 0.99,6.17 ± 0.05,8.13 ± 19.68
adverse,IPsec,hybrid,750,529.22 ± 3867.55,302.01 ± 1.14,0.55 ± 0.24,4.65 ± 0.68,4.82 ± 0.01,5.68 ± 13.52
adverse,OpenVPN,classic,750,3219.06 ± 1558.13,302.91 ± 0.47,0.58 ± 0.34,6.75 ± 0.48,3.57 ± 0.01,4.93 ± 9.40
adverse,OpenVPN,hybrid,750,7791.53 ± 816.09,483.15 ± 135.53,0.24 ± 0.06,7.11 ± 0.59,3.07 ± 0.01,7.89 ± 20.56
adverse,WireGuard,classic,750,303.00 ± 0.59,302.89 ± 0.70,0.67 ± 0.32,6.80 ± 0.45,1.90 ± 0.01,4.99 ± 9.59
adverse,WireGuard,hybrid,750,6353.60 ± 1259.52,302.90 ± 0.87,0.50 ± 0.23,5.23 ± 0.76,3.45 ± 0.33,4.85 ± 9.47
highlat,IPsec,classic,750,910.40 ± 1852.83,602.85 ± 1.29,0.21 ± 0.10,7.59 ± 1.28,6.37 ± 0.75,15.60 ± 24.72
highlat,IPsec,hybrid,750,830.81 ± 5829.95,602.86 ± 1.63,0.21 ± 0.13,4.50 ± 0.62,4.84 ± 0.07,9.95 ± 16.23
highlat,OpenVPN,classic,750,5821.39 ± 2521.30,603.79 ± 1.17,0.20 ± 0.14,6.83 ± 0.65,3.57 ± 0.01,10.35 ± 13.77
highlat,OpenVPN,hybrid,750,15066.96 ± 2808.11,966.67 ± 332.04,0.05 ± 0.02,7.88 ± 2.14,3.15 ± 0.30,28.37 ± 26.05
highlat,WireGuard,classic,750,603.80 ± 2.32,603.74 ± 1.33,0.22 ± 0.07,6.82 ± 0.38,1.92 ± 0.06,9.92 ± 13.18
highlat,WireGuard,hybrid,750,8101.32 ± 2050.42,603.88 ± 0.73,0.21 ± 0.11,5.21 ± 1.15,3.34 ± 0.01,10.08 ± 13.14
